Rank,Name,Wallet,Shards,wShards,Odyssey Drop
,,,,,
1,0xee7a…cafa,0xee7a…cafa,0,23600000,70061.33748
2,0x624f…22b3,0x624f…22b3,0,16100000,47796.08193
3,0x766a…2b21,0x766a…2b21,0,12900000,38296.23956
4,Trap Wilder,0x9629…dd18,9200,11000000,32655.70815
5,0xb621…d55e,0xb621…d55e,650,7700000,22858.9957
6,X VS,0xa4ef…5ac6,64700,5500000,16327.85407
7,0x700f…b343,0x700f…b343,0,5300000,15734.11393
8,Ever Wilder,0xf88b…8f86,14500,5200000,15437.24385
9,Spicy,0x14b9…5605,41600,3900000,11577.93289
10,0x2a83…2150,0x2a83…2150,0,3700000,10984.19274
11,0x42d3…5e27,0x42d3…5e27,0,3600000,10687.32267
12,Loveox,0xe442…7067,2500,3600000,10687.32267
13,ArashX,0xe13c…4676,24000,3600000,10687.32267
14,Akadeia,0xd2c1…698f,3600,3500000,10390.45259
15,Shakedown,0x0409…f0f1,9500,3200000,9499.84237
16,0x27db…676b,0x27db…676b,700,2900000,8609.232148
17,STBZ420,0xafc7…2b3a,3600,2900000,8609.232148
18,TinaMolina,0x9f10…8a71,19100,2800000,8312.362074
19,0x4151…1b7d,0x4151…1b7d,0,2700000,8015.492
20,0xc174…4bb6,0xc174…4bb6,0,2600000,7718.621926
21,Greeny,0x3f33…e0f3,3000,2600000,7718.621926
22,0xfaca…4b52,0xfaca…4b52,0,2500000,7421.751852
23,0x0533…bc55,0x0533…bc55,0,2400000,7124.881778
24,0xa62f…9bf3,0xa62f…9bf3,0,2400000,7124.881778
25,Woody2,0xba51…c849,20600,2400000,7124.881778
26,0x6633…3c5c,0x6633…3c5c,0,2300000,6828.011704
27,0x572d…5ed1,0x572d…5ed1,0,2200000,6531.14163
28,0xb0db…1555,0xb0db…1555,0,2200000,6531.14163
29,Wildman Zeke,0x9695…2949,105500,2200000,6531.14163
30,ridd,0x1371…cf0b,21500,2200000,6531.14163
31,Wild Pineapple DAO,0x3095…1617,0,2100000,6234.271555
32,0x480f…e973,0x480f…e973,0,2100000,6234.271555
33,wilderworlds4,0xb385…c666,650,2000000,5937.401481
34,DDDD,0xb161…ff31,16900,2000000,5937.401481
35,Guava,0x66d5…2874,57200,1900000,5640.531407
36,0x791a…78f0,0x791a…78f0,0,1900000,5640.531407
37,0xb5f7…2c02,0xb5f7…2c02,0,1900000,5640.531407
38,Digital Wilder,0xd797…0710,5600,1800000,5343.661333
39,Crisp Wilder,0x7330…a319,18500,1800000,5343.661333
40,0x7f3f…5397,0x7f3f…5397,0,1800000,5343.661333
41,Digiboy,0xa380…0133,8100,1700000,5046.791259
42,w_BabaxYaga_z,0x43eb…5184,4800,1700000,5046.791259
43,0x4891…a4dd,0x4891…a4dd,0,1700000,5046.791259
44,Bmanwilder,0xedf8…b9ff,5000,1700000,5046.791259
45,aknm,0xc5a5…ece9,10600,1600000,4749.921185
46,Serial,0xa4cf…8fad,23200,1600000,4749.921185
47,0xd27f…5158,0xd27f…5158,0,1600000,4749.921185
48,0x72c6…226a,0x72c6…226a,0,1600000,4749.921185
49,0xae3f…9670,0xae3f…9670,0,1600000,4749.921185
50,0xbf51…fe3c,0xbf51…fe3c,0,1600000,4749.921185
51,0xf08d…db08,0xf08d…db08,0,1500000,4453.051111
52,0x777a…deb5,0x777a…deb5,0,1500000,4453.051111
53,Big Trev,0x529a…bbb7,1900,1500000,4453.051111
54,0x8a14…f66f,0x8a14…f66f,0,1500000,4453.051111
55,Wilder_Ash_NZ,0x1769…3d13,67200,1400000,4156.181037
56,0x9f2c…1a94,0x9f2c…1a94,0,1400000,4156.181037
57,PaulWilder,0xb0e4…b5ef,4300,1400000,4156.181037
58,0xf3c6…e38e,0xf3c6…e38e,0,1400000,4156.181037
59,SpliffardJefferson,0x7c34…6c9f,22700,1400000,4156.181037
